scenario,share_asv,pier_wait_mean,asv_left_on_pier,door_to_door_asv,door_to_door_metro,fleet_trips,fleet_empty_trips,fleet_load_factor
"fleet=1, policy=demand, headway=300, metro_period=120",0.3933333333333333,643.3220338983051,0,1327.667093389195,743.1815021546097,20,10,0.49166666666666664
"fleet=1, policy=demand, headway=300, metro_period=300",0.3466666666666667,546.6826923076923,0,1228.823302693755,767.4088108771094,18,9,0.48148148148148145
"fleet=2, policy=demand, headway=300, metro_period=120",0.7066666666666667,145.73584905660377,0,831.3203762163208,778.1912574341361,42,21,0.42063492063492064
"fleet=2, policy=demand, headway=300, metro_period=300",0.61,120.4535519125683,0,794.7887106901679,767.9351825278911,36,18,0.4236111111111111
"fleet=3, policy=demand, headway=300, metro_period=120",0.8666666666666667,55.15,0,745.1261028743664,744.7490916182173,52,26,0.4166666666666667
"fleet=3, policy=demand, headway=300, metro_period=300",0.79,48.10126582278481,0,740.3653928360421,746.8913065066984,48,24,0.4114583333333333
"fleet=1, policy=timetable, headway=300.0, metro_period=120",0.42333333333333334,821.3833333333333,7,1503.1167204264052,751.7383595516953,24,14,0.4166666666666667
"fleet=1, policy=timetable, headway=300.0, metro_period=300",0.43333333333333335,648.4333333333333,10,1323.2038408943022,767.7613548663775,24,14,0.4166666666666667
"fleet=2, policy=timetable, headway=150.0, metro_period=120",0.5133333333333333,241.41558441558442,0,931.7827712997042,753.5698878897913,47,33,0.2730496453900709
"fleet=2, policy=timetable, headway=150.0, metro_period=300",0.5466666666666666,151.2439024390244,0,834.8383907791427,765.7224582667983,47,32,0.2907801418439716
"fleet=3, policy=timetable, headway=100.0, metro_period=120",0.74,121.83783783783784,0,806.6240057614419,762.259245295178,69,46,0.26811594202898553
"fleet=3, policy=timetable, headway=100.0, metro_period=300",0.64,105.55729166666667,0,794.8468380447848,751.6310880320862,69,49,0.2318840579710145
